study_id,fair_r_v1,resolve,build,licence_present,python_declared,has_docker,has_conda,has_pip,multi_env_decl,artifacts_at_root,n_artifacts,metadata_richness
study001,51.79,True,True,1,1,1,1,1,1,0,20.0,5.0238805208462765
study002,56.29,True,True,1,1,1,0,1,1,1,4.0,4.820281565605037
study003,51.79,True,True,1,0,1,0,1,1,0,7.0,2.639057329615259
study004,40.62,True,True,1,1,1,0,1,1,1,4.0,4.736198448394496
study005,51.79,True,True,1,1,0,1,0,1,1,2.0,5.111987788356544
study006,56.29,True,False,1,1,0,1,1,1,1,4.0,5.14166355650266
study007,51.79,False,False,1,0,1,0,1,1,1,3.0,4.3694478524670215
study008,51.79,False,False,1,1,1,1,0,1,1,4.0,5.231108616854587
study009,51.79,False,False,1,1,1,0,1,1,0,7.0,2.639057329615259
study010,51.79,True,True,1,0,1,0,1,1,0,7.0,2.639057329615259
study011,51.79,False,False,1,1,1,0,1,1,0,7.0,2.639057329615259
study012,51.79,True,True,1,0,1,0,1,1,0,6.0,2.639057329615259
study013,54.29,False,False,1,1,1,0,1,1,1,8.0,7.046647277848756
study014,51.79,False,False,1,0,1,0,1,1,0,8.0,2.639057329615259
study015,42.79,True,True,1,0,1,0,1,1,1,2.0,2.9444389791664403
study016,51.79,True,True,1,1,1,0,1,1,0,6.0,3.367295829986474
study017,51.79,True,True,1,1,0,1,1,1,1,4.0,5.14166355650266
study018,51.79,True,True,1,0,1,0,1,1,0,4.0,3.6635616461296463
study019,51.79,False,False,1,0,1,0,1,1,0,5.0,2.639057329615259
study020,44.29,,False,0,0,1,0,0,0,0,1.0,2.5649493574615367
study021,48.04,True,True,1,0,1,0,1,1,0,4.0,2.639057329615259
study022,47.29,True,True,1,1,0,0,1,1,1,2.0,4.04305126783455
study023,56.29,True,True,1,0,0,0,1,1,1,4.0,1.9459101490553132
study024,56.29,True,True,1,0,1,0,1,1,0,3.0,4.23410650459726
study025,51.79,True,True,1,0,1,0,1,1,1,4.0,4.174387269895637
study026,51.79,False,False,1,0,1,0,1,1,0,4.0,2.639057329615259
study027,56.29,False,False,1,0,0,0,1,0,1,1.0,6.92951677076365
study028,51.79,,False,1,1,0,1,0,0,1,1.0,7.650168700845001
