study_id,has_docker,has_conda,has_pip,in_subdir,license_present,triples,resolve_success,build_success,fair_r,fair_findable,fair_accessible,fair_interoperable,fair_reusable,fair_reproducible,has_seed,stars,final_tier,log_stars,log_triples
study001,1,1,1,1,1,151,1.0,1.0,51.79,7.5,5.62,6.67,12.5,19.5,0,41858,full,10.642062106560317,5.0238805208462765
study002,1,0,1,0,1,123,1.0,1.0,56.29,7.5,5.62,6.67,12.5,24.0,1,57,full,4.060443010546419,4.820281565605037
study003,1,0,1,1,1,13,1.0,1.0,51.79,7.5,5.62,6.67,12.5,19.5,1,13,full,2.639057329615259,2.639057329615259
study004,1,0,1,0,1,113,1.0,1.0,40.62,7.5,5.62,0.0,12.5,15.0,1,3,full,1.3862943611198906,4.736198448394496
study005,0,1,0,0,1,165,1.0,1.0,51.79,7.5,5.62,6.67,12.5,19.5,1,186,full,5.231108616854587,5.111987788356544
study006,0,1,1,0,1,170,1.0,0.0,56.29,7.5,5.62,6.67,12.5,24.0,1,3,full,1.3862943611198906,5.14166355650266
study007,1,0,1,0,1,78,0.0,0.0,51.79,7.5,5.62,6.67,12.5,19.5,0,3419,full,8.13739583005665,4.3694478524670215
study008,1,1,0,0,1,186,0.0,0.0,51.79,7.5,5.62,6.67,12.5,19.5,1,4,full,1.6094379124341003,5.231108616854587
study009,1,0,1,1,1,13,0.0,0.0,51.79,7.5,5.62,6.67,12.5,19.5,0,7431,full,8.913550280493675,2.639057329615259
study010,1,0,1,1,1,13,1.0,1.0,51.79,7.5,5.62,6.67,12.5,19.5,0,4724,full,8.460622839927844,2.639057329615259
study011,1,0,1,1,1,13,0.0,0.0,51.79,7.5,5.62,6.67,12.5,19.5,0,3840,full,8.253488028345904,2.639057329615259
study012,1,0,1,1,1,13,1.0,1.0,51.79,7.5,5.62,6.67,12.5,19.5,0,9682,full,9.17812704961153,2.639057329615259
study013,1,0,1,0,1,1148,0.0,0.0,54.29,10.0,5.62,6.67,12.5,19.5,0,986,full,6.894670039433482,7.046647277848756
study014,1,0,1,1,1,13,0.0,0.0,51.79,7.5,5.62,6.67,12.5,19.5,0,6326,full,8.752581469146884,2.639057329615259
study015,1,0,1,0,1,18,1.0,1.0,42.79,7.5,5.62,6.67,12.5,10.5,1,0,full,0.0,2.9444389791664403
study016,1,0,1,1,1,28,1.0,1.0,51.79,7.5,5.62,6.67,12.5,19.5,0,190,full,5.25227342804663,3.367295829986474
study017,0,1,1,0,1,170,1.0,1.0,51.79,7.5,5.62,6.67,12.5,19.5,0,268,full,5.594711379601839,5.14166355650266
study018,1,0,1,1,1,38,1.0,1.0,51.79,7.5,5.62,6.67,12.5,19.5,0,0,full,0.0,3.6635616461296463
study019,1,0,1,1,1,13,0.0,0.0,51.79,7.5,5.62,6.67,12.5,19.5,0,40,full,3.713572066704308,2.639057329615259
study020,1,0,0,1,0,12,,,44.29,7.5,5.62,6.67,5.0,19.5,1,16,full,2.833213344056216,2.5649493574615367
study021,1,0,1,1,1,13,1.0,1.0,48.04,7.5,5.62,6.67,8.75,19.5,0,26,full,3.295836866004329,2.639057329615259
study022,0,0,1,0,1,56,1.0,1.0,47.29,7.5,5.62,6.67,12.5,15.0,1,1376,full,7.227662498728655,4.04305126783455
study023,0,0,1,0,1,6,1.0,1.0,56.29,7.5,5.62,6.67,12.5,24.0,1,4078,full,8.313607139317558,1.9459101490553132
study024,1,0,1,1,1,68,1.0,1.0,56.29,7.5,5.62,6.67,12.5,24.0,0,11,full,2.4849066497880004,4.23410650459726
study025,1,0,1,0,1,64,1.0,1.0,51.79,7.5,5.62,6.67,12.5,19.5,0,16,full,2.833213344056216,4.174387269895637
study026,1,0,1,1,1,13,0.0,0.0,51.79,7.5,5.62,6.67,12.5,19.5,0,57,full,4.060443010546419,2.639057329615259
study027,0,0,1,0,1,1021,0.0,0.0,56.29,7.5,5.62,6.67,12.5,24.0,1,696,build_only,6.546785410760524,6.92951677076365
