study_id,status,n_artifacts,depth_note,has_env_file,has_docker,has_conda,has_pip,triples,resolve_success,build_success,stage_failed,fair_r,tier,license,has_commit,py_declared,py_used,ladder_ok
study001,ok,20,subdir,True,True,True,True,151,True,True,,31.1,poor,Apache-2.0,True,3.10,3.10,True
,ok,0,,False,False,False,False,0,,,,,,,False,,,
study002,ok,4,root,True,True,False,True,123,True,True,,31.1,poor,MIT,True,3.10,3.10,True
study003,ok,7,subdir,True,True,False,True,13,True,True,,31.1,poor,Apache-2.0,True,,3.10,True
study004,ok,4,root,True,True,False,True,113,True,True,,31.1,poor,GPL-3.0,True,3.9,3.9,True
study005,ok,2,root,True,False,True,False,165,True,True,,31.1,poor,MIT,True,3.8,3.8,True
study006,ok,4,root,True,False,True,True,170,True,False,build-install,31.1,poor,MIT,True,3.9,3.9,True
study007,ok,3,root,True,True,False,True,78,False,False,resolve,31.1,poor,MIT,True,,3.10,True
study008,ok,4,root,True,True,True,False,186,False,False,resolve,31.1,poor,MIT,True,3.11,3.11,True
study009,ok,7,subdir,True,True,False,True,13,False,False,resolve,31.1,poor,Apache-2.0,True,3.12,3.12,True
study010,ok,7,subdir,True,True,False,True,13,True,True,,31.1,poor,Apache-2.0,True,,3.10,True
study011,ok,7,subdir,True,True,False,True,13,False,False,resolve,31.1,poor,Apache-2.0,True,3.12,3.12,True
study012,ok,6,subdir,True,True,False,True,13,True,True,,31.1,poor,Apache-2.0,True,,3.10,True
study013,ok,8,root,True,True,False,True,1148,False,False,resolve,33.92,poor,GPL-2.0,True,3.8,3.8,True
study014,ok,8,subdir,True,True,False,True,13,False,False,resolve,31.1,poor,Apache-2.0,True,,3.10,True
study015,ok,2,root,True,True,False,True,18,True,True,,31.1,poor,GPL-3.0,True,,3.10,True
study016,ok,6,subdir,True,True,False,True,28,True,True,,31.1,poor,GPL-3.0,True,3.12,3.12,True
study017,ok,4,root,True,False,True,True,170,True,True,,31.1,poor,GPL-3.0,True,3.9,3.9,True
study018,ok,4,subdir,True,True,False,True,38,True,True,,31.1,poor,MIT,True,,3.10,True
study019,ok,5,subdir,True,True,False,True,13,False,False,resolve,31.1,poor,Apache-2.0,True,,3.10,True
study020,ok,1,subdir,True,True,False,False,12,,False,,21.1,poor,,True,,3.10,True
study021,ok,4,subdir,True,True,False,True,13,True,True,,26.1,poor,LicenseRef-Custom,True,,3.10,True
study022,ok,2,root,True,False,False,True,56,True,True,,31.1,poor,Apache-2.0,True,3.12,3.12,True
study023,ok,4,root,True,False,False,True,6,True,True,,25.1,poor,Apache-2.0,True,,3.10,True
study024,ok,3,subdir,True,True,False,True,68,True,True,,31.1,poor,GPL-3.0,True,,3.10,True
study025,ok,4,root,True,True,False,True,64,True,True,,31.1,poor,GPL-3.0,True,,3.10,True
study026,ok,4,subdir,True,True,False,True,13,False,False,resolve,31.1,poor,Apache-2.0,True,,3.10,True
