study_id,repo_url,recorded_reason,coder2_locus,coder2_remedy,coder2_notes
study001,,"SKIP out-of-scale: PPL on BLOOM-176B / OPT-66B, beyond 1x48GB GPU",,,
study002,https://github.com/dice-group/dice-embeddings,recipe had no run command,,,
study003,https://github.com/zhimengxin/rcod,placeholder_recipe,,,
study004,,SKIP repo<->paper mismatch: repo is an IRC URL-title bot,,,
study005,,SKIP no claimed number and repo<->paper mismatch (eDiff-I has no public code),,,
study006,https://github.com/baitingluo/l-map,missing_system_dep:mujoco,,,
study007,https://github.com/ShangtongZhang/DeepRL,recipe had no run command,,,
study008,https://github.com/konstantinjdobler/tight-budget-llm-adaptation,placeholder_recipe,,,
study009,https://github.com/open-mmlab/mmpose,dead_download:404,,,
study010,https://github.com/open-mmlab/mmocr,recipe had no run command,,,
study011,https://github.com/open-mmlab/mmclassification,recipe had no run command,,,
study012,https://github.com/open-mmlab/mmsegmentation,placeholder_recipe,,,
study013,,"SKIP repo<->paper mismatch: repo is the Zenodo platform, not COOS",,,
study014,https://github.com/open-mmlab/mmdetection3d,missing_dependency:torch,,,
study015,,SKIP no numeric claim captured,,,
study016,,SKIP hardware-bound metric: steps per second (throughput),,,
study017,,SKIP hardware-bound metric: processing time (seconds),,,
study018,https://github.com/markson14/WheatDet,placeholder_recipe,,,
study019,https://github.com/Res2Net/mmdetection,placeholder_recipe,,,
study020,https://github.com/yueliukth/csaw-m,missing_file_or_data,,,
study021,https://github.com/jeonjaehyeong/dpl,missing_dependency:torch,,,
study022,,"SKIP production A/B metric (Pinterest online gains), not repo-reproducible",,,
study023,,SKIP needs mobile device/emulator + external VLM API,,,
study024,https://github.com/1qb-information-technologies/ccvm,missing_dependency:pip,,,
study025,https://github.com/yihao6/vfa,placeholder_recipe,,,
study026,https://github.com/PerdonLiu/CSE-Autoloss,placeholder_recipe,,,
